name,in_sdl,funclike,header,usable,selected,stage,cause,also_contains,depends_on,unexpected,body,root_cause
SDL_CONTROLLER_BUTTON_PADDLE4,yes,no,SDL_oldnames.h,no,no,resolve,sdl2-compat-sentinel,,SDL_CONTROLLER_BUTTON_PADDLE4_renamed_SDL_GAMEPAD_BUTTON_LEFT_PADDLE2,,SDL_CONTROLLER_BUTTON_PADDLE4_renamed_SDL_GAMEPAD_BUTTON_LEFT_PADDLE2,sdl2-compat-sentinel
SDL_CONTROLLER_BUTTON_RIGHTSHOULDER,yes,no,SDL_oldnames.h,no,no,resolve,sdl2-compat-sentinel,,SDL_CONTROLLER_BUTTON_RIGHTSHOULDER_renamed_SDL_GAMEPAD_BUTTON_RIGHT_SHOULDER,,SDL_CONTROLLER_BUTTON_RIGHTSHOULDER_renamed_SDL_GAMEPAD_BUTTON_RIGHT_SHOULDER,sdl2-compat-sentinel
SDL_CONTROLLER_BUTTON_RIGHTSTICK,yes,no,SDL_oldnames.h,no,no,resolve,sdl2-compat-sentinel,,SDL_CONTROLLER_BUTTON_RIGHTSTICK_renamed_SDL_GAMEPAD_BUTTON_RIGHT_STICK,,SDL_CONTROLLER_BUTTON_RIGHTSTICK_renamed_SDL_GAMEPAD_BUTTON_RIGHT_STICK,sdl2-compat-sentinel
SDL_CONTROLLER_BUTTON_START,yes,no,SDL_oldnames.h,no,no,resolve,sdl2-compat-sentinel,,SDL_CONTROLLER_BUTTON_START_renamed_SDL_GAMEPAD_BUTTON_START,,SDL_CONTROLLER_BUTTON_START_renamed_SDL_GAMEPAD_BUTTON_START,sdl2-compat-sentinel
SDL_CONTROLLER_BUTTON_TOUCHPAD,yes,no,SDL_oldnames.h,no,no,resolve,sdl2-compat-sentinel,,SDL_CONTROLLER_BUTTON_TOUCHPAD_renamed_SDL_GAMEPAD_BUTTON_TOUCHPAD,,SDL_CONTROLLER_BUTTON_TOUCHPAD_renamed_SDL_GAMEPAD_BUTTON_TOUCHPAD,sdl2-compat-sentinel
SDL_CONTROLLER_BUTTON_X,yes,no,SDL_oldnames.h,no,no,resolve,sdl2-compat-sentinel,,SDL_CONTROLLER_BUTTON_X_renamed_SDL_GAMEPAD_BUTTON_WEST,,SDL_CONTROLLER_BUTTON_X_renamed_SDL_GAMEPAD_BUTTON_WEST,sdl2-compat-sentinel
SDL_CONTROLLER_BUTTON_Y,yes,no,SDL_oldnames.h,no,no,resolve,sdl2-compat-sentinel,,SDL_CONTROLLER_BUTTON_Y_renamed_SDL_GAMEPAD_BUTTON_NORTH,,SDL_CONTROLLER_BUTTON_Y_renamed_SDL_GAMEPAD_BUTTON_NORTH,sdl2-compat-sentinel
SDL_CONTROLLER_TYPE_NINTENDO_SWITCH_JOYCON_LEFT,yes,no,SDL_oldnames.h,no,no,resolve,sdl2-compat-sentinel,,SDL_CONTROLLER_TYPE_NINTENDO_SWITCH_JOYCON_LEFT_renamed_SDL_GAMEPAD_TYPE_NINTENDO_SWITCH_JOYCON_LEFT,,SDL_CONTROLLER_TYPE_NINTENDO_SWITCH_JOYCON_LEFT_renamed_SDL_GAMEPAD_TYPE_NINTENDO_SWITCH_JOYCON_LEFT,sdl2-compat-sentinel
SDL_CONTROLLER_TYPE_NINTENDO_SWITCH_JOYCON_PAIR,yes,no,SDL_oldnames.h,no,no,resolve,sdl2-compat-sentinel,,SDL_CONTROLLER_TYPE_NINTENDO_SWITCH_JOYCON_PAIR_renamed_SDL_GAMEPAD_TYPE_NINTENDO_SWITCH_JOYCON_PAIR,,SDL_CONTROLLER_TYPE_NINTENDO_SWITCH_JOYCON_PAIR_renamed_SDL_GAMEPAD_TYPE_NINTENDO_SWITCH_JOYCON_PAIR,sdl2-compat-sentinel
SDL_CONTROLLER_TYPE_NINTENDO_SWITCH_JOYCON_RIGHT,yes,no,SDL_oldnames.h,no,no,resolve,sdl2-compat-sentinel,,SDL_CONTROLLER_TYPE_NINTENDO_SWITCH_JOYCON_RIGHT_renamed_SDL_GAMEPAD_TYPE_NINTENDO_SWITCH_JOYCON_RIGHT,,SDL_CONTROLLER_TYPE_NINTENDO_SWITCH_JOYCON_RIGHT_renamed_SDL_GAMEPAD_TYPE_NINTENDO_SWITCH_JOYCON_RIGHT,sdl2-compat-sentinel
SDL_CONTROLLER_TYPE_NINTENDO_SWITCH_PRO,yes,no,SDL_oldnames.h,no,no,resolve,sdl2-compat-sentinel,,SDL_CONTROLLER_TYPE_NINTENDO_SWITCH_PRO_renamed_SDL_GAMEPAD_TYPE_NINTENDO_SWITCH_PRO,,SDL_CONTROLLER_TYPE_NINTENDO_SWITCH_PRO_renamed_SDL_GAMEPAD_TYPE_NINTENDO_SWITCH_PRO,sdl2-compat-sentinel
SDL_CONTROLLER_TYPE_PS3,yes,no,SDL_oldnames.h,no,no,resolve,sdl2-compat-sentinel,,SDL_CONTROLLER_TYPE_PS3_renamed_SDL_GAMEPAD_TYPE_PS3,,SDL_CONTROLLER_TYPE_PS3_renamed_SDL_GAMEPAD_TYPE_PS3,sdl2-compat-sentinel
SDL_CONTROLLER_TYPE_PS4,yes,no,SDL_oldnames.h,no,no,resolve,sdl2-compat-sentinel,,SDL_CONTROLLER_TYPE_PS4_renamed_SDL_GAMEPAD_TYPE_PS4,,SDL_CONTROLLER_TYPE_PS4_renamed_SDL_GAMEPAD_TYPE_PS4,sdl2-compat-sentinel
SDL_CONTROLLER_TYPE_PS5,yes,no,SDL_oldnames.h,no,no,resolve,sdl2-compat-sentinel,,SDL_CONTROLLER_TYPE_PS5_renamed_SDL_GAMEPAD_TYPE_PS5,,SDL_CONTROLLER_TYPE_PS5_renamed_SDL_GAMEPAD_TYPE_PS5,sdl2-compat-sentinel
